coupling_theta,eps_nn,measure_interval,coherence_mean,agent_entropy_mean,rules_mean,entropy_osc_score,rule_count
0.0,0.0,40,0.9999912281861629,4.945168529044542,0.0009765625,3.552713678800501e-15,4
0.01,0.0,40,0.99955394337066,4.956456377144372,0.0010409816060131714,0.041878807002554565,4
0.02,0.0,40,0.9995777488637082,4.958177745168246,0.0011054673005358381,0.04053497723706565,4
0.03,0.0,40,0.9995045849302457,4.957662683250243,0.0011700324430863637,0.04038731933634781,4
0.04,0.0,40,0.9995729583461855,4.958417118552055,0.001234688798424156,0.03971422613531514,4
0.05,0.0,40,0.9995144799733248,4.95921666962955,0.0012994493936114618,0.041256698400917544,4
0.06,0.0,40,0.9995068560914524,4.959612279908057,0.0013643271057873527,0.04104453717118423,4
0.07,0.0,40,0.99959625045629,4.958060356052219,0.0014293339095550175,0.04028296071860616,4
0.08,0.0,40,0.9995613937559829,4.958092367827402,0.0014944827708459943,0.03833915934438721,4
0.0,0.05,40,0.9999912281861629,4.945168529044542,0.0009765625,3.552713678800501e-15,4
0.01,0.05,40,0.999429742461751,4.9574441484275615,0.0010626604364741268,0.04029083912822368,4
0.02,0.05,40,0.9994391727149864,4.9563990573298655,0.001148943501925465,0.04135786261237767,4
0.03,0.05,40,0.9994561193493816,4.956723263036522,0.0012354300836362594,0.03967735838389886,4
0.04,0.05,40,0.999492718607376,4.956365709830027,0.0013221393789895678,0.03916307022595311,4
0.05,0.05,40,0.9994941993716195,4.95593927971929,0.0014090905011414677,0.03901340066199002,4
0.06,0.05,40,0.9995036326710156,4.955729038339274,0.001496303084858323,0.04347280790740611,4
0.07,0.05,40,0.9995442794280679,4.955312373419121,0.001583797456791762,0.04217292151624723,4
0.08,0.05,40,0.9995296830602178,4.955459471240341,0.0016715931878163723,0.03894774458583026,4
0.0,0.1,40,0.9999912281861629,4.945168529044542,0.0009765625,3.552713678800501e-15,4
0.01,0.1,40,0.9995061933923355,4.956673227159157,0.001078487070732324,0.04160017744746921,4
0.02,0.1,40,0.999522718729278,4.956888477224271,0.0011806624902255878,0.039942551684777616,4
0.03,0.1,40,0.9995018989576181,4.956709678816512,0.0012831069467274538,0.039407734424316894,4
0.04,0.1,40,0.9995447304371128,4.957239665080205,0.0013858390571030873,0.03741471908215722,4
0.05,0.1,40,0.9995423526355712,4.956700137227675,0.0014888768848585953,0.04213712016539447,4
0.06,0.1,40,0.9994970661480901,4.956975980692325,0.0015922398794447276,0.04305053919873729,4
0.07,0.1,40,0.9995457787647929,4.956525017538405,0.0016959443069675304,0.040850891405439786,4
0.08,0.1,40,0.9995600085731569,4.956735980042078,0.001800012948581778,0.03931300908846139,4
0.0,0.2,40,0.9999912281861629,4.945168529044542,0.0009765625,3.552713678800501e-15,4
0.01,0.2,40,0.9995315975321336,4.956380060614532,0.001085707076802935,0.04195833823897254,4
0.02,0.2,40,0.999523622106906,4.956103563319761,0.0011951058989895752,0.0417636322013812,4
0.03,0.2,40,0.999520142395743,4.955698826842723,0.0013047823696370011,0.04322789995198839,4
0.04,0.2,40,0.9995574835415951,4.956510784224047,0.0014147594977901566,0.04041842417445795,4
0.05,0.2,40,0.9995072989904092,4.95663600145759,0.0015250598278170983,0.039578190246009344,4
0.06,0.2,40,0.9995072838595566,4.956556566448253,0.0016357071055254629,0.03920365084520755,4
0.07,0.2,40,0.9994687332477005,4.9562415430587015,0.0017467247846849913,0.040626363740696066,4
0.08,0.2,40,0.9995233888492807,4.956044068071569,0.0018581391612203322,0.04122326472121186,4
